fed_sub,excess_deaths_raw,cas_apr06_2022,pop,iso_names,other_name
Алтайский край,587,16, 2,266,739 ,RU-ALT,Алтайский край
Амурская область,1,7, 771,889 ,RU-AMU,Амурская область
Архангельская область,448,8, 1,068,672 ,RU-ARK,Архангельская область
Астраханская область,-33,15, 989,345 ,RU-AST,Астраханская область
Белгородская область,246,1, 1,530,222 ,RU-BEL,Белгородская область
Брянская область,241,21, 1,167,806 ,RU-BRY,Брянская область
Владимирская область,204,8, 1,322,166 ,RU-VLA,Владимирская область
Волгоградская область,36,48, 2,446,461 ,RU-VGG,Волгоградская область
Вологодская область,-29,10, 1,138,694 ,RU-VLG,Вологодская область
Воронежская область,99,7, 2,285,240 ,RU-VOR,Воронежская область
Еврейская АО,4,6, 153,712 ,RU-YEV,Еврейская автономная область
Забайкальский край,72,15, 1,042,993 ,RU-ZAB,Забайкальский край
Ивановская область,222,11, 976,144 ,RU-IVA,Ивановская область
Иркутская область,711,20, 2,356,542 ,RU-IRK,Иркутская область
Кабардино-Балкария,345,6, 869,735 ,RU-KB,Кабардино-Балкария
Калининградская область,278,4, 1,026,472 ,RU-KGD,Калининградская область
Калужская область,210,1, 1,019,668 ,RU-KLU,Калужская область
Камчатский край,44,2, 312,337 ,RU-KAM,Камчатский край
Карачаево-Черкесия,224,4, 463,913 ,RU-KC,Карачаево-Черкесия
Кемеровская область,314,18, 2,603,638 ,RU-KEM,Кемеровская область
Кировская область,397,12, 1,234,448 ,RU-KIR,Кировская область
Костромская область,41,33, 620,658 ,RU-KOS,Костромская область
Краснодарский край,2654,30, 5,681,982 ,RU-KDA,Краснодарский край
Красноярский край,1092,8, 2,846,565 ,RU-KYA,Красноярский край
Курганская область,-48,9, 804,769 ,RU-KGN,Курганская область
Курская область,431,8, 1,081,905 ,RU-KRS,Курская область
Ленинградская область,458,12, 1,907,590 ,RU-LEN,Ленинградская область
Липецкая область,118,4, 1,113,584 ,RU-LIP,Липецкая область
Магаданская область,9,0, 137,529 ,RU-MAG,Магаданская область
Москва,1322,0, 12,632,409 ,RU-MOW,Москва
Московская область,1421,5, 7,765,918 ,RU-MOS,Московская область
Мурманская область,42,4, 724,179 ,RU-MUR,Мурманская область
Ненецкий АО,11,0, 44,483 ,RU-NEN,Ненецкий автономный округ
Нижегородская область,263,23, 3,141,015 ,RU-NIZ,Нижегородская область
Новгородская область,-80,3, 585,247 ,RU-NGR,Новгородская область
Новосибирская область,632,16, 2,779,375 ,RU-NVS,Новосибирская область
Омская область,308,22, 1,879,242 ,RU-OMS,Омская область
Оренбургская область,-202,41, 1,921,908 ,RU-ORE,Оренбургская область
Орловская область,310,8, 713,043 ,RU-ORL,Орловская область
Пензенская область,60,16, 1,272,697 ,RU-PNZ,Пензенская область
Пермский край,139,22, 2,555,042 ,RU-PER,Пермский край
Приморский край,903,5, 1,860,429 ,RU-PRI,Приморский край
Псковская область,25,19, 612,458 ,RU-PSK,Псковская область
Республика Адыгея,398,1, 468,190 ,RU-AD,Адыгея
Республика Алтай,14,2, 221,402 ,RU-AL,Республика Алтай
Республика Башкортостан,-468,33, 4,001,052 ,RU-BA,Башкортостан
Республика Бурятия,422,52, 981,487 ,RU-BU,Бурятия
Республика Дагестан,808,93, 3,154,677 ,RU-DA,Дагестан
Республика Ингушетия,89,13, 523,955 ,RU-IN,Ингушетия
Республика Калмыкия,62,3, 267,517 ,RU-KL,Калмыкия
Республика Карелия,243,6, 602,458 ,RU-KR,Карелия
Республика Коми,65,2, 803,208 ,RU-KO,Республика Коми
Республика Крым,673,17, 2,423,460 ,UA-43,Крым
Республика Марий Эл,35,5, 670,730 ,RU-ME,Марий Эл
Республика Мордовия,102,1, 769,142 ,RU-MO,Мордовия
Республика Татарстан,-127,27, 3,886,640 ,RU-TA,Татарстан
Республика Тыва,-24,15, 332,518 ,RU-TY,Тыва
Республика Хакасия,152,3, 528,316 ,RU-KK,Хакасия
Ростовская область,1514,21, 4,149,835 ,RU-ROS,Ростовская область
Рязанская область,80,22, 1,083,834 ,RU-RYA,Рязанская область
Самарская область,137,17, 3,129,410 ,RU-SAM,Самарская область
Санкт-Петербург,1134,1, 5,376,672 ,RU-SPE,Санкт-Петербург
Саратовская область,50,23, 2,357,476 ,RU-SAR,Саратовская область
Сахалинская область,159,2, 484,207 ,RU-SAK,Сахалинская область
Свердловская область,365,15, 4,261,084 ,RU-SVE,Свердловская область
Севастополь,142,,340,735,UA-40,Севастополь
Северная Осетия,363,39, 687,674 ,RU-SE,Северная Осетия
Смоленская область,101,1, 908,659 ,RU-SMO,Смоленская область
Ставропольский край,898,21, 2,777,531 ,RU-STA,Ставропольский край
Тамбовская область,321,4, 979,504 ,RU-TAM,Тамбовская область
Тверская область,357,6, 1,228,698 ,RU-TVE,Тверская область
Томская область,32,1, 1,068,480 ,RU-TOM,Томская область
Тульская область,370,9, 1,430,942 ,RU-TUL,Тульская область
Тюменская область,66,13, 3,807,658 ,RU-TYU,Тюменская область
Удмуртская Республика,-6,12, 1,483,539 ,RU-UD,Удмуртия
Ульяновская область,33,9, 1,202,811 ,RU-ULY,Ульяновская область
Хабаровский край,173,0, 1,298,233 ,RU-KHA,Хабаровский край
Ханты-Мансийский АО,32,2, 1,702,452 ,RU-KHM,Ханты-Мансийский автономный округ — Югра
Челябинская область,-222,31, 3,416,613 ,RU-CHE,Челябинская область
Чеченская Республика,369,2, 1,516,882 ,RU-CE,Чечня
Чувашская Республика,86,8, 1,197,866 ,RU-CU,Чувашия
Чукотский АО,-12,1, 50,294 ,RU-CHU,Чукотский автономный округ
Якутия,26,2, 990,538 ,RU-SA,Якутия
Ямало-Hенецкий АО,-12,0, 552,788 ,RU-YAN,Ямало-Ненецкий автономный округ
Ярославская область,352,2, 1,226,062 ,RU-YAR,Ярославская область